top - 13:27:37 up 13 days,  4:43,  3 users,  load average: 0.13, 0.08, 0.04
Tasks: 211 total,   3 running, 208 sleeping,   0 stopped,   0 zombie
Cpu(s):  0.6%us,  0.7%sy,  0.0%ni, 98.7%id,  0.0%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:   7805796k total,  7752536k used,    53260k free,   172976k buffers
Swap: 23237980k total,     2332k used, 23235648k free,  6563380k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
 1402 root      20   0  5988  596  504 S    0  0.0   0:00.00 getty              
 1405 root      20   0  5988  600  504 S    0  0.0   0:00.00 getty              
 1412 root      20   0  5988  604  504 S    0  0.0   0:00.00 getty              
 1413 root      20   0  5988  596  504 S    0  0.0   0:00.00 getty              
 1415 root      20   0  5988  600  504 S    0  0.0   0:00.00 getty              
 1418 root      20   0  4352 1128  540 S    0  0.0   0:00.00 acpid              
 1437 daemon    20   0 16512  460  312 S    0  0.0   0:00.01 atd                
 1438 root      20   0 18708  992  760 S    0  0.0   0:02.15 cron               
 1452 root      20   0 22180 1216 1024 S    0  0.0   0:00.00 hald-addon-inpu    
 1479 root      20   0 22188 1216 1028 S    0  0.0   0:00.00 hald-addon-cpuf    
 1480 haldaemo  20   0 26080 1216 1004 S    0  0.0   0:00.00 hald-addon-acpi    
 1545 root      15  -5     0    0    0 S    0  0.0   0:00.00 rpciod/0           
 1546 root      15  -5     0    0    0 S    0  0.0   0:00.00 rpciod/1           
 1547 root      15  -5     0    0    0 S    0  0.0   0:00.00 rpciod/2           
 1548 root      15  -5     0    0    0 S    0  0.0   0:00.00 rpciod/3           
 1564 root      15  -5     0    0    0 S    0  0.0   0:00.00 lockd              
 1565 root      15  -5     0    0    0 S    0  0.0   0:00.01 nfsd4              
 1566 root      15  -5     0    0    0 S    0  0.0   0:00.00 nfsd               
 1567 root      15  -5     0    0    0 S    0  0.0   0:00.00 nfsd               
 1568 root      15  -5     0    0    0 S    0  0.0   0:00.00 nfsd               
 1569 root      15  -5     0    0    0 S    0  0.0   0:00.00 nfsd               
